품목코드,ITEM CODE,Color/Category,품목명[규격],재고수량,단종여부,도매주문단위,주문제표시,품번,한글명,소요량,재고상태,재고상황,재고상태,카테고리,순서,,상품명,색상번호,색상명,재고,,
02104093,1140.0006,olive/beige/blue,Artsy/0006,8,24 SS,1,,1140,아트시,4,2.00 ,양호,🟢,2,2,,아트시,1140.0006,olive/beige/blue,🟢,,1140.0006
02104094,1140.0007,green/petrol,Artsy/0007,13,24 SS,1,,1140,아트시,4,3.25 ,여유,🔵,2,2,,아트시,1140.0007,green/petrol,🔵,,1140.0007
02104095,1140.0008,blue/rose,Artsy/0008,4,24 SS,1,,1140,아트시,4,1.00 ,낱볼,🔴,2,2,,아트시,1140.0008,blue/rose,🔴,,1140.0008
02205053,1140.0009,purple/green/orange/blue,Artsy/0009,8,25 SS,1,,1140,아트시,4,2.00 ,양호,🟢,2,2,,아트시,1140.0009,purple/green/orange/blue,🟢,,1140.0009
02205054,1140.0010,brown/blue/ocre/lilac,Artsy/0010,8,25 SS,1,,1140,아트시,4,2.00 ,양호,🟢,2,2,,아트시,1140.0010,brown/blue/ocre/lilac,🟢,,1140.0010
02205055,1140.0011,yellow/rose,Artsy/0011,7,25 SS,1,,1140,아트시,4,1.75 ,양호,🟢,2,2,,아트시,1140.0011,yellow/rose,🟢,,1140.0011
02205056,1140.0012,green/yellow/pink/petrol,Artsy/0012,2,25 SS,1,,1140,아트시,4,0.50 ,낱볼,🔴,2,2,,아트시,1140.0012,green/yellow/pink/petrol,🔴,,1140.0012
02104063,1139.0001,rose/corn,SecretGarden/0001,13,24 SS,5,,1139,시크릿 가든,4,3.25 ,여유,🔵,2,3,,시크릿 가든,1139.0001,rose/corn,🔵,,1139.0001
02104064,1139.0002,mustard yellow/sage,SecretGarden/0002,13,24 SS,5,,1139,시크릿 가든,4,3.25 ,여유,🔵,2,3,,시크릿 가든,1139.0002,mustard yellow/sage,🔵,,1139.0002
02104065,1139.0003,blue,SecretGarden/0003,12,24 SS,5,,1139,시크릿 가든,4,3.00 ,여유,🔵,2,3,,시크릿 가든,1139.0003,blue,🔵,,1139.0003
